formula_pretty,nelements,structure_count,nsites_min,nsites_median,nsites_max,elements
MgTe2Mo3W(Se2S)2,6,19,13,13.0,13,Mg Mo S Se Te W
MgMn4Zn2O8,4,19,15,15.0,15,Mg Mn O Zn
Na2FePCO7,5,19,24,48.0,72,C Fe Na O P
Li2TiFeO4,4,19,16,32.0,32,Fe Li O Ti
LiVOF3,4,19,12,24.0,48,F Li O V
Mn3OF5,3,19,18,18.0,18,F Mn O
Ni3OF5,3,19,18,18.0,18,F Ni O
Cr4OF11,3,19,16,32.0,32,Cr F O
V4OF11,3,19,16,32.0,32,F O V
Fe5O3F7,3,19,30,30.0,30,F Fe O
Fe5(O4F)2,3,19,30,30.0,30,F Fe O
LiMn3(BO3)3,4,19,32,32.0,32,B Li Mn O
Co3OF5,3,19,18,18.0,18,Co F O
Fe3(O2F)2,3,19,18,18.0,18,F Fe O
MgCd,2,19,2,4.0,12,Cd Mg
LiNiP2O7,4,19,11,44.0,44,Li Ni O P
Li5Co3O8,3,19,16,16.0,16,Co Li O
Fe3O5F,3,19,18,18.0,18,F Fe O
Li4CO4,3,19,9,9.0,18,C Li O
ZrCrCuS4,4,19,7,28.0,56,Cr Cu S Zr
MgAl2O4,3,19,7,56.0,98,Al Mg O
TaCr3(AgS4)2,4,19,14,28.0,56,Ag Cr S Ta
LiSb(PO3)4,4,19,36,36.0,72,Li O P Sb
Na2FeO3,3,18,12,24.0,24,Fe Na O
LiMn(PO3)3,4,18,28,56.0,84,Li Mn O P
FeO,2,18,2,8.0,80,Fe O
H2O,2,18,6,30.0,42,H O
MgGa2,2,18,6,6.0,24,Ga Mg
CoP2O7,3,18,10,40.0,80,Co O P
MgZn2(FeO2)4,4,18,15,15.0,15,Fe Mg O Zn
MgTi8(NiO3)8,4,18,41,41.0,41,Mg Ni O Ti
MgZn,2,18,2,6.0,12,Mg Zn
Na2CoO3,3,18,12,24.0,24,Co Na O
Co3(OF2)2,3,18,18,18.0,18,Co F O
NaMnPCO7,5,18,22,44.0,44,C Mn Na O P
Na3Ni2P2(CO7)2,5,18,23,46.0,46,C Na Ni O P
Na2NiPCO7,5,18,24,48.0,48,C Na Ni O P
Na3Mn2P2(CO7)2,5,18,23,46.0,46,C Mn Na O P
Li2FePCO7,5,18,24,48.0,48,C Fe Li O P
VPO5,3,18,14,21.0,56,O P V
Li2CoSiO4,4,18,32,32.0,64,Co Li O Si
